,country_name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
0,Albania,2017,4.639548302,9.454930305,0.637698293,69.05000305,0.74961102,-0.028629376,0.876134634,0.547240436,0.33388412,0.457737535
1,Albania,2018,5.004402637,9.496804237,0.683591664,69.07499695,0.824212313,0.009069982,0.899129391,0.592044652,0.318996727,0.435337961
2,Albania,2019,4.995317936,9.521978378,0.686364889,69.09999847,0.777351439,-0.099057563,0.914284289,0.548189282,0.273827374,0.336627871
3,Albania,2020,5.364909649,9.487400055,0.710115016,69.125,0.75367105,0.006331214,0.891358972,0.563486159,0.265066117,0.373402834
4,Albania,2021,5.25548172,9.562287331,0.70188278,69.15000153,0.827452719,0.044741828,0.896126628,0.553830087,0.25365448,0.472924024
5,Argentina,2017,6.039330006,10.06888008,0.906699121,67.0,0.831966162,-0.187793866,0.841052473,0.715182364,0.291717261,0.305430293
6,Argentina,2018,5.792796612,10.03219891,0.899911582,67.05000305,0.845894694,-0.212362573,0.855255246,0.73206991,0.320502073,0.261352271
7,Argentina,2019,6.085560799,10.00179768,0.89637053,67.09999847,0.817052603,-0.212645262,0.830459774,0.734905839,0.319054842,0.273853004
8,Argentina,2020,5.900567055,9.887899399,0.897103846,67.15000153,0.823391616,-0.126742944,0.815780461,0.679316759,0.342496932,0.430758089
9,Argentina,2021,5.908278942,9.955421448,0.882304549,67.19999695,0.819479346,-0.008816142,0.816256702,0.684860051,0.345131576,0.326574117
10,Australia,2017,7.25703764,10.78722477,0.949957848,70.75,0.910550177,0.315513879,0.411346525,0.728149831,0.225360975,0.45340696
11,Australia,2018,7.17699337,10.80016899,0.940137267,70.82499695,0.916028142,0.144675538,0.404647499,0.705982745,0.187456369,0.468836874
12,Australia,2019,7.233994961,10.80586433,0.942774355,70.90000153,0.917536914,0.118749149,0.430208653,0.726976216,0.202190071,0.468700022
13,Australia,2020,7.137367725,10.79323864,0.936517,70.97499847,0.905282974,0.205083221,0.491094828,0.725688934,0.205077678,0.446422249
14,Australia,2021,7.111598969,10.81834221,0.91975528,71.05000305,0.912402213,0.237517536,0.453676045,0.739800155,0.235314175,0.519226372
15,Austria,2017,7.293727875,10.89993763,0.906217813,70.65000153,0.890030563,0.131007552,0.518303812,0.698889375,0.18026872,0.43590793
16,Austria,2018,7.396001816,10.91977501,0.911668122,70.77500153,0.904111981,0.051337708,0.52306056,0.694627702,0.226058796,0.488678724
17,Austria,2019,7.195361137,10.93013,0.964488804,70.90000153,0.90342766,0.05765314,0.457088888,0.727341115,0.205169737,0.512338281
18,Austria,2020,7.213489056,10.85622025,0.924831212,71.02500153,0.911909878,0.008043503,0.463830173,0.716352284,0.206499651,0.626177847
19,Austria,2021,7.079640865,10.89209175,0.862975955,71.15000153,0.794845939,0.161673456,0.500808597,0.721865237,0.259080172,0.61045897
20,Benin,2017,4.853180885,8.021097183,0.435878992,54.90000153,0.72680825,-0.064950399,0.767234623,0.59782958,0.457920343,0.615089297
21,Benin,2018,5.81982708,8.058574677,0.503544033,55.20000076,0.713264048,0.002149294,0.746510744,0.625308931,0.467871815,0.639219761
22,Benin,2019,4.976360798,8.09782505,0.442153931,55.5,0.770359993,-0.016165027,0.698346972,0.638348281,0.44139877,0.690226018
23,Benin,2020,4.407745838,8.10866642,0.506636083,55.79999924,0.783114672,-0.083990186,0.531883657,0.556501985,0.304512441,0.806810319
24,Benin,2021,4.493431091,8.140853882,0.435524195,56.09999847,0.724061847,-0.013507844,0.6125471,0.596800864,0.434594899,0.762415886
25,Bolivia,2017,5.65055275,9.038804054,0.778661788,63.0,0.883904934,-0.121300541,0.819261968,0.655216575,0.43394354,0.427632958
26,Bolivia,2018,5.915734291,9.065954208,0.827159464,63.15000153,0.863246858,-0.093821533,0.786044598,0.705477774,0.387468874,0.399588227
27,Bolivia,2019,5.67427063,9.073887825,0.7843014,63.29999924,0.88131094,-0.086626269,0.857220411,0.700826466,0.419328213,0.300631315
28,Bolivia,2020,5.559258938,8.967653275,0.804810882,63.45000076,0.877031922,-0.052450921,0.868208289,0.728823423,0.381791174,0.168832317
29,Bolivia,2021,5.56862402,9.007940292,0.797810495,63.59999847,0.861731231,-0.054499056,0.812174439,0.721001804,0.403487325,0.385875583
30,Bosnia and Herzegovina,2017,5.089902401,9.529072762,0.775295258,67.09999847,0.563798666,0.090583712,0.923343062,0.52663964,0.270745516,0.126379713
31,Bosnia and Herzegovina,2018,5.887401104,9.574061394,0.835889578,67.15000153,0.658846438,0.122005023,0.912857771,0.567694068,0.277365059,0.254097164
32,Bosnia and Herzegovina,2019,6.01552248,9.608901024,0.873141944,67.19999695,0.72156322,0.077898346,0.96290803,0.544666409,0.238068551,0.167970508
33,Bosnia and Herzegovina,2020,5.515816212,9.582542419,0.898518682,67.25,0.740250826,0.136582226,0.916052163,0.601870954,0.325412303,0.244549632
